Category,Control, priority ,Mod
Account,AWS account should be part of AWS Organizations, p3 ,Compliance
Account,Security contact information should be provided for an AWS account, p1 ,Compliance
ACM,ACM certificates should have transparency logging enabled, p1 ,Compliance
ACM,Ensure That All the Expired ACM Certificates Are Removed, p1 ,Compliance
ACM,ACM certificates should not expire within 30 days, p1 ,Compliance
ACM,ACM certificates should not use wildcard certificates, p1 ,Compliance
ACM,Ensure that ACM certificates are not in failed state, p1 ,Compliance
ACM,Ensure that ACM certificates are not in pending validation state, p1 ,Compliance
ACM,Ensure that all the expired ACM certificates are removed, p1 ,Compliance
API Gateway,Access logging should be configured for API Gateway V2 Stages, p3 ,Compliance
API Gateway,API Gateway methods authorizer should be configured, p1 ,Compliance
API Gateway,API Gateway methods request parameter should be validated, p3 ,Compliance
API Gateway,API Gateway REST API endpoint type should be configured to private, p1 ,Compliance
API Gateway,API Gateway REST API public endpoints should be configured with authorizer, p1 ,Compliance
API Gateway,API Gateway REST API stages should have AWS X-Ray tracing enabled, p3 ,Compliance
API Gateway,API Gateway routes should specify an authorization type, p1 ,Compliance
API Gateway,API Gateway stage cache encryption at rest should be enabled, p1 ,Compliance
API Gateway,API Gateway stage logging should be enabled, p1 ,Compliance
API Gateway,API Gateway stage should be associated with waf, p3 ,Compliance
API Gateway,API Gateway stage should uses SSL certificate, p1 ,Compliance
API Gateway,API Gateway stages should have authorizers configured, p3 ,Compliance
API Gateway,API Gateway V2 authorizer should be configured, p3 ,Compliance
AppStream,AppStream fleet default internet access should be disabled, p1 ,Compliance
AppStream,AppStream fleet idle disconnect timeout should be set to less than or equal to 10 mins, p3 ,Compliance
AppStream,AppStream fleet max user duration should be set to less than 10 hours, p3 ,Compliance
AppStream,AppStream fleet session disconnect timeout should be set to less than or equal to 5 mins, p3 ,Compliance
AppSync,AppSync graphql API logging should be enabled, p1 ,Compliance
Athena,Athena workgroups should be encrypted at rest, p3 ,Compliance
Athena,Athena workgroups should enforce configuration, p3 ,Compliance
Auto Scaling,Auto Scaling group should configure EC2 instances to require Instance Metadata Service Version 2 (IMDSv2), p1 ,Compliance
Auto Scaling,Auto Scaling groups should not have any suspended processes, p3 ,Compliance
Auto Scaling,Auto Scaling groups with a load balancer should use health checks, p3 ,Compliance
Auto Scaling,Auto Scaling launch config public IP should be disabled, p3 ,Compliance
Auto Scaling,EC2 auto scaling group launch configurations should not have metadata response hop limit greater than 1, p3 ,Compliance
Auto Scaling,EC2 auto scaling group launch configurations user data should not have any sensitive data, p3 ,Compliance
Auto Scaling,EC2 auto scaling groups should cover multiple availability zones, p3 ,Compliance
Auto Scaling,EC2 Auto Scaling groups should use EC2 launch templates, p3 ,Compliance
Auto Scaling,EC2 auto scaling groups should use multiple instance types in multiple availability zones, p3 ,Compliance
Auto Scaling,Ensure EC2 Auto Scaling Groups Propagate Tags to EC2 Instances that it launches, p3 ,Compliance
Backup,Backup plan min frequency and min retention check, p3 ,Compliance
Backup,Backup plan should exist in a region, p3 ,Compliance
Backup,Backup recovery points manual deletion should be disabled, p3 ,Compliance
Backup,Backup recovery points should be encrypted, p1 ,Compliance
Backup,Backup recovery points should not expire before retention period, p3 ,Compliance
Backup,Backup report plan should exist in a region where backup plan is enabled, p2 ,Compliance
Backup,Backup vaults should exist in a region, p3 ,Compliance
CloudFormation,CloudFormation stacks differ from the expected configuration, p3 ,Compliance
CloudFormation,CloudFormation stacks outputs should not have any secrets, p1 ,Compliance
CloudFormation,CloudFormation stacks should have notifications enabled, p2 ,Compliance
CloudFormation,CloudFormation stacks should have rollback enabled, p2 ,Compliance
CloudFormation,Cloudformation stacks termination protection should be enabled, p2 ,Compliance
CloudFront,CloudFront distributions access logs should be enabled, p2 ,Compliance
CloudFront,CloudFront distributions should encrypt traffic to custom origins, p1 ,Compliance
CloudFront,CloudFront distributions should encrypt traffic to non S3 origins, p3 ,Compliance
CloudFront,CloudFront distributions should have a default root object configured, p3 ,Compliance
CloudFront,CloudFront distributions should have AWS WAF enabled, p2 ,Compliance
CloudFront,CloudFront distributions should have field level encryption enabled, p2 ,Compliance
CloudFront,CloudFront distributions should have geo restriction enabled, p2 ,Compliance
CloudFront,CloudFront distributions should have latest TLS version, p1 ,Compliance
CloudFront,CloudFront distributions should have origin access identity enabled, p2 ,Compliance
CloudFront,CloudFront distributions should have origin failover configured, p3 ,Compliance
CloudFront,CloudFront distributions should not point to non-existent S3 origins, p3 ,Compliance
CloudFront,CloudFront distributions should not use deprecated SSL protocols between edge locations and custom origins, p3 ,Compliance
CloudFront,CloudFront distributions should require encryption in transit, p3 ,Compliance
CloudFront,CloudFront distributions should use custom SSL/TLS certificates, p2 ,Compliance
CloudFront,CloudFront distributions should use secure SSL cipher, p1 ,Compliance
CloudFront,CloudFront distributions should use SNI to serve HTTPS requests, p2 ,Compliance
CloudTrail,All S3 buckets should log S3 data events in CloudTrail, p3 ,Compliance
CloudTrail,At least one CloudTrail trail should be enabled in the AWS account, p2 ,Compliance
CloudTrail,At least one enabled trail should be present in a region, p2 ,Compliance
CloudTrail,At least one multi-region AWS CloudTrail should be present in an account, p3 ,Compliance
CloudTrail,At least one trail should be enabled with security best practices, p2 ,Compliance
CloudTrail,CloudTrail multi region trails should be integrated with CloudWatch logs, p3 ,Compliance
CloudTrail,CloudTrail trail log file validation should be enabled, p2 ,Compliance
CloudTrail,CloudTrail trail logs should be encrypted with KMS CMK, p1 ,Compliance
CloudTrail,CloudTrail trail S3 buckets MFA delete should be enabled, p2 ,Compliance
CloudTrail,CloudTrail trails should be enabled in all regions, p2 ,Compliance
CloudTrail,CloudTrail trails should be integrated with CloudWatch logs, p3 ,Compliance
CloudTrail,CloudTrail trails should have insight selectors and logging enabled, p2 ,Compliance
CloudTrail,Ensure S3 bucket access logging is enabled on the CloudTrail S3 bucket, p1 ,Compliance
CloudTrail,Ensure that Object-level logging for read events is enabled for S3 bucket, p1 ,Compliance
CloudTrail,Ensure that Object-level logging for write events is enabled for S3 bucket, p1 ,Compliance
CloudTrail,Ensure the S3 bucket CloudTrail logs to is not publicly accessible, p3 ,Compliance
CloudWatch,CloudWatch alarm action should be enabled, p2 ,Compliance
CloudWatch,CloudWatch alarm should have an action configured, p3 ,Compliance
CloudWatch,CloudWatch should not allow cross-account sharing, p3 ,Compliance
CloudWatch,Ensure a log metric filter and alarm exist for AWS Config configuration changes, p3 ,Compliance
