category,control
Account,AWS account should be part of AWS Organizations
ACM,ACM certificates should not expire within 30 days
ACM,ACM certificates should not expire within 30 days
ACM,ACM certificates should not expire within 30 days
ACM,ACM certificates should not expire within 30 days
ACM,ACM certificates should not expire within 30 days
ACM,ACM certificates should not expire within 30 days
ACM,ACM certificates should not expire within 30 days
ACM,ACM certificates should not expire within 30 days
ACM,ACM certificates should not expire within 30 days
ACM,Ensure that ACM certificates are not in failed state
ACM,Ensure that ACM certificates are not in failed state
ACM,Ensure that ACM certificates are not in failed state
ACM,Ensure that ACM certificates are not in failed state
ACM,Ensure that ACM certificates are not in failed state
ACM,Ensure that ACM certificates are not in failed state
ACM,Ensure that ACM certificates are not in failed state
ACM,Ensure that ACM certificates are not in failed state
ACM,Ensure that ACM certificates are not in failed state
ACM,Ensure that ACM certificates are not in pending validation state
ACM,Ensure that ACM certificates are not in pending validation state
ACM,Ensure that ACM certificates are not in pending validation state
ACM,Ensure that ACM certificates are not in pending validation state
ACM,Ensure that ACM certificates are not in pending validation state
ACM,Ensure that ACM certificates are not in pending validation state
ACM,Ensure that ACM certificates are not in pending validation state
ACM,Ensure that ACM certificates are not in pending validation state
ACM,Ensure that ACM certificates are not in pending validation state
ACM,ACM certificates should not use wildcard certificates
ACM,ACM certificates should not use wildcard certificates
ACM,ACM certificates should not use wildcard certificates
ACM,ACM certificates should not use wildcard certificates
ACM,ACM certificates should not use wildcard certificates
ACM,ACM certificates should not use wildcard certificates
ACM,ACM certificates should not use wildcard certificates
ACM,ACM certificates should not use wildcard certificates
ACM,ACM certificates should not use wildcard certificates
ACM,Ensure that all the expired ACM certificates are removed
ACM,Ensure that all the expired ACM certificates are removed
ACM,Ensure that all the expired ACM certificates are removed
ACM,Ensure that all the expired ACM certificates are removed
ACM,Ensure that all the expired ACM certificates are removed
ACM,Ensure that all the expired ACM certificates are removed
ACM,Ensure that all the expired ACM certificates are removed
ACM,Ensure that all the expired ACM certificates are removed
ACM,Ensure that all the expired ACM certificates are removed
ACM,"RSA certificates managed by ACM should use a key length of at least 2,048 bits"
ACM,"RSA certificates managed by ACM should use a key length of at least 2,048 bits"
ACM,"RSA certificates managed by ACM should use a key length of at least 2,048 bits"
ACM,"RSA certificates managed by ACM should use a key length of at least 2,048 bits"
ACM,"RSA certificates managed by ACM should use a key length of at least 2,048 bits"
ACM,"RSA certificates managed by ACM should use a key length of at least 2,048 bits"
ACM,"RSA certificates managed by ACM should use a key length of at least 2,048 bits"
ACM,"RSA certificates managed by ACM should use a key length of at least 2,048 bits"
ACM,"RSA certificates managed by ACM should use a key length of at least 2,048 bits"
ACM,ACM certificates should have transparency logging enabled
ACM,ACM certificates should have transparency logging enabled
ACM,ACM certificates should have transparency logging enabled
ACM,ACM certificates should have transparency logging enabled
ACM,ACM certificates should have transparency logging enabled
ACM,ACM certificates should have transparency logging enabled
ACM,ACM certificates should have transparency logging enabled
ACM,ACM certificates should have transparency logging enabled
ACM,ACM certificates should have transparency logging enabled
API Gateway,API Gateway methods authorizer should be configured
API Gateway,API Gateway methods authorizer should be configured
API Gateway,API Gateway methods authorizer should be configured
API Gateway,API Gateway methods authorizer should be configured
API Gateway,API Gateway methods authorizer should be configured
API Gateway,API Gateway methods authorizer should be configured
API Gateway,API Gateway methods authorizer should be configured
API Gateway,API Gateway methods request parameter should be validated
API Gateway,API Gateway methods request parameter should be validated
API Gateway,API Gateway methods request parameter should be validated
API Gateway,API Gateway methods request parameter should be validated
API Gateway,API Gateway methods request parameter should be validated
API Gateway,API Gateway methods request parameter should be validated
API Gateway,API Gateway methods request parameter should be validated
API Gateway,API Gateway REST API public endpoints should be configured with authorizer
API Gateway,API Gateway REST API public endpoints should be configured with authorizer
API Gateway,API Gateway REST API public endpoints should be configured with authorizer
API Gateway,API Gateway stages should have authorizers configured
API Gateway,API Gateway stages should have authorizers configured
