category,control,priority
Account,AWS account should be part of AWS Organizations,p3
ACM,ACM certificates should not expire within 30 days,p1
ACM,ACM certificates should not expire within 30 days,p1
ACM,ACM certificates should not expire within 30 days,p1
ACM,ACM certificates should not expire within 30 days,p1
ACM,ACM certificates should not expire within 30 days,p1
ACM,ACM certificates should not expire within 30 days,p1
ACM,ACM certificates should not expire within 30 days,p1
ACM,ACM certificates should not expire within 30 days,p1
ACM,ACM certificates should not expire within 30 days,p1
ACM,Ensure that ACM certificates are not in failed state,p1
ACM,Ensure that ACM certificates are not in failed state,p1
ACM,Ensure that ACM certificates are not in failed state,p1
ACM,Ensure that ACM certificates are not in failed state,p1
ACM,Ensure that ACM certificates are not in failed state,p1
ACM,Ensure that ACM certificates are not in failed state,p1
ACM,Ensure that ACM certificates are not in failed state,p1
ACM,Ensure that ACM certificates are not in failed state,p1
ACM,Ensure that ACM certificates are not in failed state,p1
ACM,Ensure that ACM certificates are not in pending validation state,p1
ACM,Ensure that ACM certificates are not in pending validation state,p1
ACM,Ensure that ACM certificates are not in pending validation state,p1
ACM,Ensure that ACM certificates are not in pending validation state,p1
ACM,Ensure that ACM certificates are not in pending validation state,p1
ACM,Ensure that ACM certificates are not in pending validation state,p1
ACM,Ensure that ACM certificates are not in pending validation state,p1
ACM,Ensure that ACM certificates are not in pending validation state,p1
ACM,Ensure that ACM certificates are not in pending validation state,p1
ACM,ACM certificates should not use wildcard certificates,p1
ACM,ACM certificates should not use wildcard certificates,p1
ACM,ACM certificates should not use wildcard certificates,p1
ACM,ACM certificates should not use wildcard certificates,p1
ACM,ACM certificates should not use wildcard certificates,p1
ACM,ACM certificates should not use wildcard certificates,p1
ACM,ACM certificates should not use wildcard certificates,p1
ACM,ACM certificates should not use wildcard certificates,p1
ACM,ACM certificates should not use wildcard certificates,p1
ACM,Ensure that all the expired ACM certificates are removed,p1
ACM,Ensure that all the expired ACM certificates are removed,p1
ACM,Ensure that all the expired ACM certificates are removed,p1
ACM,Ensure that all the expired ACM certificates are removed,p1
ACM,Ensure that all the expired ACM certificates are removed,p1
ACM,Ensure that all the expired ACM certificates are removed,p1
ACM,Ensure that all the expired ACM certificates are removed,p1
ACM,Ensure that all the expired ACM certificates are removed,p1
ACM,Ensure that all the expired ACM certificates are removed,p1
ACM,"RSA certificates managed by ACM should use a key length of at least 2,048 bits",No Priority
ACM,"RSA certificates managed by ACM should use a key length of at least 2,048 bits",No Priority
ACM,"RSA certificates managed by ACM should use a key length of at least 2,048 bits",No Priority
ACM,"RSA certificates managed by ACM should use a key length of at least 2,048 bits",No Priority
ACM,"RSA certificates managed by ACM should use a key length of at least 2,048 bits",No Priority
ACM,"RSA certificates managed by ACM should use a key length of at least 2,048 bits",No Priority
ACM,"RSA certificates managed by ACM should use a key length of at least 2,048 bits",No Priority
ACM,"RSA certificates managed by ACM should use a key length of at least 2,048 bits",No Priority
ACM,"RSA certificates managed by ACM should use a key length of at least 2,048 bits",No Priority
ACM,ACM certificates should have transparency logging enabled,p2
ACM,ACM certificates should have transparency logging enabled,p2
ACM,ACM certificates should have transparency logging enabled,p2
ACM,ACM certificates should have transparency logging enabled,p2
ACM,ACM certificates should have transparency logging enabled,p2
ACM,ACM certificates should have transparency logging enabled,p2
ACM,ACM certificates should have transparency logging enabled,p2
ACM,ACM certificates should have transparency logging enabled,p2
ACM,ACM certificates should have transparency logging enabled,p2
API Gateway,API Gateway methods authorizer should be configured,p1
API Gateway,API Gateway methods authorizer should be configured,p1
API Gateway,API Gateway methods authorizer should be configured,p1
API Gateway,API Gateway methods authorizer should be configured,p1
API Gateway,API Gateway methods authorizer should be configured,p1
API Gateway,API Gateway methods authorizer should be configured,p1
API Gateway,API Gateway methods authorizer should be configured,p1
API Gateway,API Gateway methods request parameter should be validated,p3
API Gateway,API Gateway methods request parameter should be validated,p3
API Gateway,API Gateway methods request parameter should be validated,p3
API Gateway,API Gateway methods request parameter should be validated,p3
API Gateway,API Gateway methods request parameter should be validated,p3
API Gateway,API Gateway methods request parameter should be validated,p3
API Gateway,API Gateway methods request parameter should be validated,p3
API Gateway,API Gateway REST API public endpoints should be configured with authorizer,p1
API Gateway,API Gateway REST API public endpoints should be configured with authorizer,p1
API Gateway,API Gateway REST API public endpoints should be configured with authorizer,p1
API Gateway,API Gateway stages should have authorizers configured,p3
API Gateway,API Gateway stages should have authorizers configured,p3
API Gateway,API Gateway stages should have authorizers configured,p3
API Gateway,API Gateway REST API endpoint type should be configured to private,p1
API Gateway,API Gateway REST API endpoint type should be configured to private,p1
API Gateway,API Gateway REST API endpoint type should be configured to private,p1
API Gateway,API Gateway stage should uses SSL certificate,p1
API Gateway,API Gateway stage should uses SSL certificate,p1
API Gateway,API Gateway stage should uses SSL certificate,p1
API Gateway,API Gateway REST API stages should have AWS X-Ray tracing enabled,p3
API Gateway,API Gateway REST API stages should have AWS X-Ray tracing enabled,p3
API Gateway,API Gateway REST API stages should have AWS X-Ray tracing enabled,p3
API Gateway,API Gateway stage cache encryption at rest should be enabled,p1
API Gateway,API Gateway stage cache encryption at rest should be enabled,p1
API Gateway,API Gateway stage cache encryption at rest should be enabled,p1
API Gateway,API Gateway stage logging should be enabled,p2
API Gateway,API Gateway stage logging should be enabled,p2
API Gateway,API Gateway stage logging should be enabled,p2
API Gateway,API Gateway stage should be associated with waf,p3
API Gateway,API Gateway stage should be associated with waf,p3
API Gateway,API Gateway stage should be associated with waf,p3
Athena,Athena workgroups should be encrypted at rest,p3
Athena,Athena workgroups should enforce configuration,p3
Auto Scaling,EC2 auto scaling group launch configurations user data should not have any sensitive data,p3
Auto Scaling,EC2 auto scaling group launch configurations user data should not have any sensitive data,p3
Auto Scaling,EC2 auto scaling groups should cover multiple availability zones,p3
Auto Scaling,EC2 auto scaling groups should cover multiple availability zones,p3
Auto Scaling,Auto Scaling groups should not have any suspended processes,p3
Auto Scaling,Auto Scaling groups should not have any suspended processes,p3
Auto Scaling,Ensure EC2 Auto Scaling Groups Propagate Tags to EC2 Instances that it launches,p3
Auto Scaling,Ensure EC2 Auto Scaling Groups Propagate Tags to EC2 Instances that it launches,p3
Auto Scaling,EC2 Auto Scaling groups should use EC2 launch templates,p3
Auto Scaling,EC2 Auto Scaling groups should use EC2 launch templates,p3
Auto Scaling,Auto Scaling groups with a load balancer should use health checks,p3
Auto Scaling,Auto Scaling groups with a load balancer should use health checks,p3
Auto Scaling,EC2 auto scaling group launch configurations should not have metadata response hop limit greater than 1,p3
Auto Scaling,EC2 auto scaling group launch configurations should not have metadata response hop limit greater than 1,p3
Auto Scaling,Auto Scaling launch config public IP should be disabled,p3
Auto Scaling,Auto Scaling launch config public IP should be disabled,p3
Auto Scaling,Auto Scaling group should configure EC2 instances to require Instance Metadata Service Version 2 (IMDSv2),p1
Auto Scaling,Auto Scaling group should configure EC2 instances to require Instance Metadata Service Version 2 (IMDSv2),p1
Auto Scaling,EC2 auto scaling groups should use multiple instance types in multiple availability zones,p3
Auto Scaling,EC2 auto scaling groups should use multiple instance types in multiple availability zones,p3
Backup,Backup plan min frequency and min retention check,p3
Backup,Backup plan should exist in a region,p3
Backup,Backup plan should exist in a region,p3
Backup,Backup plan should exist in a region,p3
Backup,Backup plan should exist in a region,p3
Backup,Backup plan should exist in a region,p3
Backup,Backup plan should exist in a region,p3
Backup,Backup plan should exist in a region,p3
Backup,Backup plan should exist in a region,p3
Backup,Backup plan should exist in a region,p3
Backup,Backup plan should exist in a region,p3
Backup,Backup plan should exist in a region,p3
Backup,Backup plan should exist in a region,p3
Backup,Backup plan should exist in a region,p3
Backup,Backup plan should exist in a region,p3
Backup,Backup plan should exist in a region,p3
Backup,Backup plan should exist in a region,p3
Backup,Backup plan should exist in a region,p3
Backup,Backup plan should exist in a region,p3
Backup,Backup plan should exist in a region,p3
Backup,Backup plan should exist in a region,p3
Backup,Backup plan should exist in a region,p3
Backup,Backup plan should exist in a region,p3
Backup,Backup plan should exist in a region,p3
Backup,Backup plan should exist in a region,p3
Backup,Backup plan should exist in a region,p3
Backup,Backup plan should exist in a region,p3
Backup,Backup plan should exist in a region,p3
Backup,Backup plan should exist in a region,p3
Backup,Backup plan should exist in a region,p3
Backup,Backup plan should exist in a region,p3
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
